date,text,user
2013-11-19T00:21:51.000Z,"NFL Linebacker Killed in 100 MPH Car Crash 1 Other Driver Dies, Another Hospitalized http://tmz.me/17GUjy0",/TMZ
2013-12-09T00:02:24.000Z,Denver's Matt Prater kicks NFL record 64-yard field goal http://fxn.ws/18v4vEQ,/FoxNews
2013-12-13T14:07:38.000Z,3 people were stabbed after a NFL football game in Denver: http://cnn.it/1eaiXtI,/CNN
2013-11-04T20:32:43.000Z,#Breaking: Sean Taylor -- 23-Year-old CONVICTED of Murdering NFL Star http://tmz.me/1gnwJZR,/TMZ
2013-12-23T06:45:43.000Z,Eminem charges $2 million to perform at the NFL Owners Party... http://youtu.be/SvScM4vmHAA,/TMZ
2013-11-21T04:30:39.000Z,Did you see the STRUGGLE SUIT former NBA’er Tracy McGrady was wearing?! (via MTO) http://bit.ly/1fWbmfB,/TMZ
2013-12-18T01:24:11.000Z,Watch Paul McCartney hit all five stages of grief in a flash as he tries to catch a T-shirt at an NBA game: http://rol.st/1dL3FqR,/RollingStone
2013-11-13T19:37:05.000Z,Former NFL star Todd Christensen dies at age 57 http://fxn.ws/HU5KHl,/FoxNews
2013-11-05T02:32:06.000Z,NFL Dolphins suspend Richie Incognito after complaints by teammate. http://cnn.it/1ffIONy,/CNN
2013-11-13T17:27:05.000Z,#Breaking: Todd Christensen Dead at 57 -- NFL Legend Dies During Surgery http://tmz.me/1eMtESv,/TMZ
2013-11-04T20:39:27.000Z,These are the texts & voicemails that Richie Incognito allegedly sent to his teammate http://wapo.st/1b0rU2R #Dolphins #NFL,/washingtonpost
2013-11-06T18:26:24.000Z,Dwight Howard -- Fan Detained After Striking NBA Star with Basketball http://tmz.me/1cSjSdq,/TMZ
2013-11-22T16:10:47.000Z,Gilbert Arenas I'm NEVER Playing in the NBA Again http://tmz.me/1bIzpKw,/TMZ
2013-11-07T04:02:21.000Z,Boswell: The NFL doesn't have a PR problem. It has a reality problem. http://wapo.st/1gsMHSm,/washingtonpost
2014-01-29T16:20:44.000Z,"Capturing Football’s Snaps, Crackles and Pops in Madden NFL",/nytimes
2014-01-07T21:31:24.000Z,Former #NFL player @ChrisWarcraft says he was fired for supporting #gayrights http://cnn.it/1cK9p1h https://pic.twitter.com/nvW8yK2bVr via @CNNvideo,/CNN
2014-02-23T20:29:27.000Z,NEW: Brooklyn Nets have signed Jason Collins to 10-day contract. Collins is first openly gay player on an NBA roster. http://bit.ly/1fm1v5m,/CNN
2014-01-06T16:32:18.000Z,"""Basketball diplomacy"" or publicity? Dennis Rodman & former NBA players head to North Korea. http://cnn.it/1dIObW7",/CNN
2014-01-23T00:48:18.000Z,"Hearing impaired 9-year-old writes a sweet letter calling deaf NFL star ""my insperation"" http://nyp.st/1eT9Edk",/nypost
2014-01-29T16:20:44.000Z,"Capturing Football’s Snaps, Crackles and Pops in Madden NFL",/nytimes
2014-01-07T21:31:24.000Z,Former #NFL player @ChrisWarcraft says he was fired for supporting #gayrights http://cnn.it/1cK9p1h https://pic.twitter.com/nvW8yK2bVr via @CNNvideo,/CNN
2014-02-23T20:29:27.000Z,NEW: Brooklyn Nets have signed Jason Collins to 10-day contract. Collins is first openly gay player on an NBA roster. http://bit.ly/1fm1v5m,/CNN
2014-01-06T16:32:18.000Z,"""Basketball diplomacy"" or publicity? Dennis Rodman & former NBA players head to North Korea. http://cnn.it/1dIObW7",/CNN
2014-01-23T00:48:18.000Z,"Hearing impaired 9-year-old writes a sweet letter calling deaf NFL star ""my insperation"" http://nyp.st/1eT9Edk",/nypost
2014-01-29T16:20:44.000Z,"Capturing Football’s Snaps, Crackles and Pops in Madden NFL",/nytimes
2014-01-07T21:31:24.000Z,Former #NFL player @ChrisWarcraft says he was fired for supporting #gayrights http://cnn.it/1cK9p1h https://pic.twitter.com/nvW8yK2bVr via @CNNvideo,/CNN
2014-02-23T20:29:27.000Z,NEW: Brooklyn Nets have signed Jason Collins to 10-day contract. Collins is first openly gay player on an NBA roster. http://bit.ly/1fm1v5m,/CNN
2014-01-06T16:32:18.000Z,"""Basketball diplomacy"" or publicity? Dennis Rodman & former NBA players head to North Korea. http://cnn.it/1dIObW7",/CNN
2014-01-23T00:48:18.000Z,"Hearing impaired 9-year-old writes a sweet letter calling deaf NFL star ""my insperation"" http://nyp.st/1eT9Edk",/nypost
2014-01-29T16:20:44.000Z,"Capturing Football’s Snaps, Crackles and Pops in Madden NFL",/nytimes
2014-01-07T21:31:24.000Z,Former #NFL player @ChrisWarcraft says he was fired for supporting #gayrights http://cnn.it/1cK9p1h https://pic.twitter.com/nvW8yK2bVr via @CNNvideo,/CNN
